ObservedBy_Person_ID,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
'29483',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,4,13,104,2457492,2,2016,4,13,104,2457492,1
"'29483,29083,29192,28810,29105,29110,25505,26817,26490,29374,30408'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,4,18,109,2457497,4,2016,5,17,138,2457526,4
'29192',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,5,26,147,2457535,3,2016,5,26,147,2457535,3
"'25505,30552'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,5,30,151,2457539,1,2016,6,7,159,2457547,1
"'28810,25505'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,6,19,171,2457559,11,2016,6,27,179,2457567,3
'25505',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,7,4,186,2457574,4,2016,7,4,186,2457574,3
'26490',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,371,Breaking leaf buds,2016,8,28,241,2457629,6,2016,8,28,241,2457629,8
'29483',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2016,4,13,104,2457492,3,2016,4,13,104,2457492,1
'29192',20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2016,4,19,110,2457498,1,2016,4,19,110,2457498,1
"'29110,29483,25505,26817,26490,29105,29374,30408,29192'",20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2016,4,21,112,2457500,1,2016,5,23,144,2457532,3
